Timestamp,Inlet_Flow,Outlet_Flow,Pressure,Status
00:00:02,502.4,488.1,450,Normal
00:00:04,498.2,485.5,452,Normal
00:00:06,505.1,490.2,448,Normal
00:00:08,499.0,487.3,450,Normal
00:00:10,510.5,855.2,410,THEFT_DETECTED
00:00:12,515.2,862.0,408,THEFT_DETECTED
00:00:14,508.8,848.5,412,THEFT_DETECTED
00:00:16,500.0,485.2,450,Normal
00:00:18,497.5,482.1,449,Normal
00:00:20,503.2,152.4,180,LEAKAGE_DETECTED
00:00:22,501.8,148.9,175,LEAKAGE_DETECTED
00:00:24,505.5,155.1,172,LEAKAGE_DETECTED
00:00:26,499.2,486.3,451,Normal
00:00:28,501.7,489.5,450,Normal
00:00:30,496.8,483.2,453,Normal
00:00:32,504.3,491.8,449,Normal
00:00:34,500.5,487.9,451,Normal
00:00:36,498.9,485.6,450,Normal
00:00:38,502.1,488.7,452,Normal
00:00:40,507.3,494.2,447,Normal
00:00:42,499.8,486.4,450,Normal
00:00:44,503.6,490.1,449,Normal
00:00:46,501.2,487.8,451,Normal
00:00:48,512.8,867.3,405,THEFT_DETECTED
00:00:50,518.4,875.9,403,THEFT_DETECTED
00:00:52,514.6,870.2,407,THEFT_DETECTED
00:00:54,509.2,858.7,409,THEFT_DETECTED
00:00:56,500.3,486.9,450,Normal
00:00:58,497.8,484.5,451,Normal
00:01:00,502.9,489.3,449,Normal
00:01:02,499.5,486.2,452,Normal
00:01:04,505.8,492.4,448,Normal
00:01:06,498.1,485.0,450,Normal
00:01:08,501.4,488.2,451,Normal
00:01:10,496.5,482.9,453,Normal
00:01:12,504.7,491.5,449,Normal
00:01:14,500.8,487.6,450,Normal
00:01:16,502.5,489.1,451,Normal
00:01:18,499.3,486.7,450,Normal
00:01:20,506.2,158.7,178,LEAKAGE_DETECTED
00:01:22,503.8,151.2,174,LEAKAGE_DETECTED
00:01:24,508.1,160.5,171,LEAKAGE_DETECTED
00:01:26,504.5,154.8,176,LEAKAGE_DETECTED
00:01:28,501.9,149.3,179,LEAKAGE_DETECTED
00:01:30,498.7,485.3,451,Normal
00:01:32,502.3,488.9,450,Normal
00:01:34,497.2,483.8,452,Normal
00:01:36,505.4,491.9,448,Normal
00:01:38,500.1,486.5,450,Normal
00:01:40,499.6,487.1,451,Normal
00:01:42,503.0,489.6,449,Normal
00:01:44,498.4,485.2,452,Normal
00:01:46,501.8,488.4,450,Normal
00:01:48,496.9,483.5,453,Normal
00:01:50,504.2,490.8,449,Normal
00:01:52,499.7,486.3,451,Normal
00:01:54,502.6,489.2,450,Normal
00:01:56,500.4,487.0,451,Normal
00:01:58,497.1,484.1,452,Normal
00:02:00,503.5,490.3,449,Normal
00:02:02,514.9,872.6,406,THEFT_DETECTED
00:02:04,520.3,881.4,402,THEFT_DETECTED
00:02:06,516.7,876.8,404,THEFT_DETECTED
00:02:08,501.5,488.0,450,Normal
00:02:10,498.6,485.7,451,Normal
00:02:12,502.8,489.4,450,Normal
00:02:14,499.2,486.8,452,Normal
00:02:16,505.6,492.1,448,Normal
00:02:18,500.9,487.4,450,Normal
00:02:20,497.4,484.3,451,Normal
00:02:22,503.1,489.7,449,Normal
00:02:24,498.8,485.9,452,Normal
00:02:26,501.3,487.7,450,Normal
